Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
115629,"Change Your Thinking, Change Your Life: How to Unlock Your Full Potential for Success and Achievement",Brian Tracy,"Tracy, Brian",,0471735388,9780471735380,5,4.22,John Wiley & Sons,Paperback,270,2005,2003,7/31/2016,8/9/2016,,,read,,,,,,,0,,,,,
8112865,No Excuses!: The Power of Self-Discipline,Brian Tracy,"Tracy, Brian",,1593155824,9781593155827,5,4.14,Vanguard Press,Hardcover,304,2010,2010,7/15/2016,8/9/2016,,,read,,,,,,,0,,,,,
20799234,The Principles of Object-Oriented JavaScript,Nicholas C. Zakas,"Zakas, Nicholas C.",,,,5,4.42,No Starch Press,Kindle Edition,120,2014,2012,,6/2/2014,,,read,"After Reading this book,  I really learnt a  lot about OOPS in JS. Now I know<br/><br/>1. How to create a readonly property in an object.<br/><br/>2. How to create an object which cannot be overridden.<br/> <br/>I haven't completed it yet. But its awesome.<br/><br/><br/>Must read for every JavaScript Developer",,,,,,0,,,,,
17286670,Scarcity: Why Having Too Little Means So Much,Sendhil Mullainathan,"Mullainathan, Sendhil",Eldar Shafir,0805092641,9780805092646,5,3.87,Times Books,Hardcover,304,2013,2013,3/10/2014,3/14/2014,,,read,,,,,,,0,,,,,
17977529,"Choose Yourself: Be Happy, Make Millions, Live the Dream",James Altucher,"Altucher, James",,,9781619610224,5,3.89,,Paperback,276,2013,2013,1/24/2014,3/14/2014,,,read,,,,,,,0,,,,,
12442420,JavaScript Enlightenment,Cody Lindley,"Lindley, Cody",,,,5,3.53,,,,,2012,9/10/2013,8/30/2013,,,read,"Helped me to get a deeper understanding of JavaScript. Since JavaScript is the foundation for all the front end frameworks, I believe a good understanding of JavaScript will help me to be a better front end developer.",,,,,,0,,,,,
33293,Naked Economics: Undressing the Dismal Science,Charles Wheelan,"Wheelan, Charles",,0393324869,9780393324860,5,3.98,W. W. Norton & Company,Paperback,288,2003,2002,8/14/2013,8/30/2013,,,read,"Enjoyed reading this book. I could visualize the examples given in the book with real world scenarios like why human capital is very important to the GDP of the country. Without investing in the very humans in the form of good education and health care, the country cannot expect them to be productive. Without being productive,how can you improve the GDP of a country. very nice. Also surprised to know that only countries with fewer natural resources really became developed countries and countries with vast amount of natural resources are still not productive. ",,,,,,0,,,,,
16158498,Give and Take: A Revolutionary Approach to Success,Adam M. Grant,"Grant, Adam M.",,0670026557,9780670026555,0,4.04,Viking,Hardcover,320,2013,2013,,6/11/2013,currently-reading,currently-reading (#3),currently-reading,,,,,,,0,,,,,
5629833,"Positivity: Groundbreaking Research Reveals How to Embrace the Hidden Strength of Positive Emotions, Overcome Negativity, and Thrive",Barbara L. Fredrickson,"Fredrickson, Barbara L.",,0307393739,9780307393739,5,3.92,Crown,Hardcover,288,2009,2009,,6/11/2013,,,read,,,,,,,0,,,,,
13707560,Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,"Wheelan, Charles",,0393071952,9780393071955,5,3.85,W. W. Norton & Company,Hardcover,260,2013,2012,6/1/2013,4/18/2013,,,read,,,,,,,0,,,,,
13838958,Professional ASP.NET MVC 4,Jon Galloway,"Galloway, Jon",,111834846X,9781118348468,5,3.99,Wrox Press,Paperback,468,2012,2012,3/11/2013,4/18/2013,,,read,"Awesome book.. Awesome authors. If you want to learn ASP.NET MVC4 , I highly recommend this book.",,,,,,0,,,,,
60701,American Heart Association Fitting in Fitness: Hundreds of Simple Ways to Put More Physical Activity into Your Life,American Heart Association,"Association, American Heart",,081292911X,9780812929119,4,4,Harmony,Paperback,192,1997,1997,4/18/2013,4/18/2013,,,read,"Enjoyed reading this book. All we have to do is mix some kind of activity in whatever we do. splitting 1/2 hour of activity per day into three 10 min activity like walking, jogging, stair climbing will help people with busy schedules.",,,,,,0,,,,,
13593553,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,"Pink, Daniel H.",,1594487154,9781594487156,4,3.88,Riverhead Books,Hardcover,272,2012,2012,2/6/2013,3/26/2013,,,read,,,,,,,0,,,,,
13586406,"Mash-up!: How to Use Your Multiple Skills to Give You an Edge, Make Money and Be Happier",Ian Sanders,"Sanders, Ian",David Sloly,0749465905,9780749465902,5,3.61,Kogan Page,Paperback,256,2012,2012,3/26/2013,3/26/2013,,,read,Really enjoyed reading the book and success stories of people who went plural from singular. ,,,,,,0,,,,,
6496815,NurtureShock: New Thinking About Children,Po Bronson,"Bronson, Po",Ashley Merryman,0446504122,9780446504126,0,4.03,Twelve,Hardcover,336,2009,2008,,1/16/2013,to-read,to-read (#6),to-read,,,,,,,0,,,,,
13720498,The Positive Dog: A Story about the Power of Positivity,Jon Gordon,"Gordon, Jon",,0470888555,9780470888551,5,3.83,John Wiley & Sons,Hardcover,103,2012,2012,,1/16/2013,,,read,,,,,,,0,,,,,
13624114,Man vs. Markets: Economics Explained (Plain and Simple),Paddy Hirsch,"Hirsch, Paddy",,0062196650,9780062196651,5,3.87,HarperBusiness,Paperback,224,2012,2012,9/3/2012,9/3/2012,,,read,"As the title says plain and simple, Paddy hirsch has clearly explained the macro economic fundamentals. I enjoyed reading it..",,,,,,0,,,,,
10455681,Professional ASP.NET MVC 3,Jon Galloway,"Galloway, Jon","Phil Haack, Brad Wilson",1118076583,9781118076583,5,3.73,Wrox Press,Paperback,432,2011,2011,,8/14/2012,,,read,,,,,,,0,,,,,
66354,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,"Csikszentmihalyi, Mihaly",,0060920432,9780060920432,5,4.09,Harper Perennial,Paperback,320,1990,1990,6/5/2012,8/14/2012,,,read,,,,,,,0,,,,,
9422683,JavaScript Patterns,Stoyan Stefanov,"Stefanov, Stoyan",,0596806752,9780596806750,0,4.16,O'Reilly Media,Paperback,216,2010,2010,,8/14/2012,currently-reading,currently-reading (#1),currently-reading,Learning a lot of stuff from this book. Very interesting and very useful.,,,,,,0,,,,,
13425570,How Will You Measure Your Life?,Clayton M. Christensen,"Christensen, Clayton M.","James Allworth, Karen Dillon",0062102427,9780062102423,5,4.05,HarperBusiness,ebook,240,2012,2012,7/15/2012,8/14/2012,,,read,,,,,,,0,,,,,
13358979,"The First 20 Minutes: Surprising Science Reveals How We Can: Exercise Better, Train Smarter, Live Longer",Gretchen  Reynolds,"Reynolds, Gretchen",,1594630933,9781594630934,5,3.81,Hudson Street Press,Hardcover,288,2012,2012,7/8/2012,8/14/2012,,,read,,,,,,,0,,,,,
12609433,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,"Duhigg, Charles",,1400069289,9781400069286,5,4,Random House,Hardcover,286,2012,2011,,7/1/2012,,,read,,,,,,,0,,,,,
12030438,"The Start-Up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman,"Hoffman, Reid",Ben Casnocha,,,5,3.86,,Kindle Edition,274,,2012,3/5/2012,3/6/2012,,,read,A very nice read. I would recommend this to my friends.,,,,,,0,,,,,
4224060,The Element: How Finding Your Passion Changes Everything,Ken Robinson,"Robinson, Ken",Lou Aronica,0670020478,9780670020478,5,3.88,Viking,Hardcover,288,2009,2009,11/24/2011,12/1/2011,,,read,I like this book too.  I would recommend this to my friends and family.,,,,,,0,,,,,
99315,A Whole New Mind: Why Right-Brainers Will Rule the Future,Daniel H. Pink,"Pink, Daniel H.",,1594481717,9781594481710,5,3.95,Riverhead Books,Paperback,304,2006,2004,11/1/2011,12/1/2011,,,read,Very nice read. Really enjoyed it.,,,,,,0,,,,,
998,The Millionaire Next Door,Thomas J. Stanley,"Stanley, Thomas J.",William D. Danko,0671015206,9780671015206,4,3.98,Gallery Books,Paperback,258,1998,1995,,10/28/2011,,,read,,,,,,,0,,,,,
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,1594488843,9781594488849,5,3.94,Riverhead Books,Hardcover,242,2009,2008,10/10/2011,10/28/2011,,,read,Another nice book on what really motivates us.. I liked it very much.,,,,,,0,,,,,
12929359,"The Effortless Life: A Manual for Contentment, Mindfulness, & Flow",Leo Babauta,"Babauta, Leo",,,,5,3.68,,Kindle Edition,57,,2011,10/28/2011,10/28/2011,,,read,Very nice. A very quick and interesting read. Couldn't agree with all the things that the author mentioned in the book like have no goals.,,,,,,0,,,,,
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,0465067107,9780465067107,0,4.17,Basic Books,Paperback,240,2002,1988,,8/29/2011,to-read,to-read (#5),to-read,,,,,,,0,,,,,
10822774,Little Bets: How Breakthrough Ideas Emerge from Small Discoveries,Peter Sims,"Sims, Peter",,1439170428,9781439170427,5,3.82,Free Press,Hardcover,224,2011,2011,8/26/2011,8/29/2011,,,read,Intersting read. I would recommend this to my friends.,,,,,,0,,,,,
5700054,Zen to Done,Leo Babauta,"Babauta, Leo",,,,5,3.78,,Kindle Edition,114,,2007,12/11/2009,5/25/2011,,,read,I check my personal email only once a day and my work email after my first two hours. I decide what I want to accomplish the next day and focus on that in the first two hours of my day. I learnt all these things in this book. I enjoyed reading this book.,,,,,,0,,,,,
3467088,The Power Of Less: The Fine Art of Limiting Yourself to the Essential,Leo Babauta,"Babauta, Leo",,1401309704,9781401309701,5,3.78,Hachette Books,Hardcover,170,2009,2008,12/27/2009,5/25/2011,,,read,,,,,,,0,,,,,
9640383,The Price of Everything: Solving the Mystery of Why We Pay What We Do,Eduardo Porter,"Porter, Eduardo",,1591843626,9781591843627,4,3.33,Portfolio,Hardcover,304,2011,2011,,5/24/2011,,,read,,,,,,,0,,,,,
10350977,Disciplined Dreaming: A Proven System to Drive Breakthrough Creativity,Josh Linkner,"Linkner, Josh",,0470922222,9780470922224,4,3.5,Jossey-Bass,Hardcover,235,2011,2011,5/4/2011,5/17/2011,,,read,,,,,,,0,,,,,
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,,9780671723651,5,4.11,Gallery Books,Paperback,288,1998,2005,5/17/2011,5/17/2011,,,read,"Very good book. Very useful to anybody. After I reading that book, I learned a lot on how to improve my inter-personal skills. The main point that I learned from the book is not to criticize anybody and If you want to pinpoint mistakes, you have to highlight the good things first and then let them know the mistake is a easy one to correct. I have not been doing this before.",,,,,,0,,,,,
10180964,What Every Body is Saying: An FBI Agent's Guide to Speed-Reading People,Joe Navarro,"Navarro, Joe",Marvin Karlins,0061755664,9780061755668,5,3.89,William Morrow Paperbacks,ebook,272,2009,2008,4/10/2011,4/18/2011,,,read,"Just wanted to know about reading body language. Picked up this book from Amazon Kindle. So far, liked this book. No complains. Could be useful to anyone who is not alone :)",,,,,,0,,,,,
7708753,Ext JS in Action,Jesús García,"García, Jesús",,1935182110,9781935182115,5,3.81,Manning Publications,Paperback,496,2010,2010,4/18/2011,4/18/2011,,,read,"Very good reference book if you want to design your entire UI using ext js framework. I am using this for projects where clients don't want any plugins ""Flash/Silverlight"".It goes from basic to advanced level.",,,,,,0,,,,,
8702117,"Debunkery: Learn It, Do It, and Profit from It--Seeing Through Wall Street's Money-Killing Myths",Kenneth L. Fisher,"Fisher, Kenneth L.",,0470285354,9780470285350,4,3.63,John Wiley & Sons,Hardcover,234,2010,2010,4/18/2011,4/18/2011,,,read,,,,,,,0,,,,,
6463967,The Big Short: Inside the Doomsday Machine,Michael Lewis,"Lewis, Michael",,0393072231,9780393072235,5,4.23,W. W. Norton & Company,Hardcover,264,2010,2009,6/10/2016,2/15/2011,,,read,,,,,,,0,,,,,
2998152,JavaScript: The Good Parts,Douglas Crockford,"Crockford, Douglas",,0596517742,9780596517748,5,4.23,Yahoo Press,Paperback,153,2008,2008,,2/15/2011,,,read,,,,,,,0,,,,,
7306509,Advanced .NET Debugging,Mario Hewardt,"Hewardt, Mario",Patrick Dessud,0321578899,9780321578891,0,4.41,Addison-Wesley Professional,Paperback,503,2009,2009,,2/15/2011,to-read,to-read (#3),to-read,,,,,,,0,,,,,
8727466,Why We Get Fat: And What to Do About It,Gary Taubes,"Taubes, Gary",,0307272702,9780307272706,5,4.03,Knopf,Hardcover,272,2010,2010,2/10/2011,2/15/2011,,,read,"Very interesting. It was an accident that I picked up this book. After my yearly physical, I found that I had a very high cholesterol. On that night, I read a cover story which ran in readers digest which was advising all you can eat meat and no carbs and sugar. I was immediately sole when I read the article. It mentioned the book that the author wrote. So I immediately bought this book in kindle. Very well explained with lot of references to research papers.",,,,,,0,,,,,
2848658,Buyology: Truth and Lies About Why We Buy and the New Science of Desire,Martin Lindstrom,"Lindstrom, Martin",,0385523882,9780385523882,4,3.71,Currency,Hardcover,304,2008,2008,11/21/2010,12/7/2010,,,read,,,,,,,0,,,,,
1713426,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,"Ariely, Dan",,006135323X,9780061353239,5,4.09,HarperCollins Canada ,Hardcover,280,2008,2007,12/6/2010,12/6/2010,,,read,very interesting.,,,,,,0,,,,,
7038663,Talent is Overrated: What Really Separates World-Class Performers from Everybody Else,Geoff Colvin,"Colvin, Geoff",,1436291550,9781436291552,5,3.96,Portfolio,ebook,224,2008,2008,8/6/2010,10/22/2010,,,read,Very good. ,,,,,,0,,,,,
8421795,Microsoft SharePoint 2010: Building Solutions for SharePoint 2010,Sahil Malik,"Malik, Sahil",,1430228652,9781430228653,5,4,Apress,Paperback,384,2010,2010,,10/21/2010,to-read,to-read (#4),to-read,Very Very Good.  I have finished 5 chapters. So very well written and practical examples.,,,,,,0,,,,,
6251066,ASP.Net MVC in Action,Jeffrey Palermo,"Palermo, Jeffrey","Ben Scheirman, Jimmy Boggard, Jimmy Bogard",1933988622,9781933988627,5,0,Manning Publications,Paperback,392,2009,2009,4/4/2010,10/21/2010,,,read,Awesome book. ,,,,,,0,,,,,
7226012,Silverlight 4 in Action,Pete   Brown,"Brown, Pete",,1935182374,9781935182375,4,4,Manning Publications,Paperback,728,2010,2010,8/14/2012,10/21/2010,,,read,,,,,,,0,,,,,
3860977,How We Decide,Jonah Lehrer,"Lehrer, Jonah",,0618620117,9780618620111,4,3.81,Houghton Mifflin Harcourt,Hardcover,259,2009,2009,10/21/2010,8/10/2010,,,read,,,,,,,0,,,,,
41786,Joel on Software,Joel Spolsky,"Spolsky, Joel",,1590593898,9781590593899,4,4.09,Apress,Paperback,384,2004,2004,8/10/2010,7/21/2010,,,read,,,,,,,1,,,unspecified,,
7978838,Making It Big in Software: Get the Job. Work the Org. Become Great.,Sam S. Lightstone,"Lightstone, Sam S.",,0137059671,9780137059676,4,0,Prentice Hall PTR,Paperback,438,2010,2010,4/15/2011,7/21/2010,,,read,,,,,,,0,,,,,
6966823,The Shallows: What the Internet is Doing to Our Brains,Nicholas Carr,"Carr, Nicholas",,0393072223,9780393072228,5,3.83,W.W. Norton,Hardcover,276,2010,2010,6/1/2010,7/21/2010,,,read,Very good. Awesome. ,,,,,,1,,,unspecified,,
272933,"Padre Rico, Padre Pobre/Rich Dad Poor Dad: Que Les Ensenan Los Ricos A Sus Hijos Acerca Del Dinero, Que Las Clases Media Y Pobre No!/What The Rich Teach Their Kids About Money That The Poor And",Robert T. Kiyosaki,"Kiyosaki, Robert T.",Sharon L. Lechter,9871106823,9789871106820,5,3.9,,,,,1998,6/1/2010,7/21/2010,,,read,,,,,,,1,,,unspecified,,
6139589,Understanding Options,Michael Sincere,"Sincere, Michael",,,,5,3.92,,Kindle Edition,245,,2006,,6/22/2010,,,read,,,,,,,1,,,unspecified,,
8126136,Spark: The Revolutionary New Science of Exercise and the Brain,John J. Ratey,"Ratey, John J.",,,,5,4.11,"Little, Brown and Company",Kindle Edition,305,2008,2008,6/22/2010,6/22/2010,,,read,Another interesting reading. I usually walk for 45 minutes in the gym after I had a knee surgery five years ago. But now I do high intensity interval training . Seeing amazing results. This book along with Brain Rules is a good combo.  Thanks to IPAD. I read more than 1o books in 3 months....,,,,,,1,,,unspecified,,
1655451,Beyond Code: Learn To Distinguish Yourself In 9 Simple Steps!,Rajesh Setty,"Setty, Rajesh",,1590791029,9781590791028,5,3,Select Books (NY),Hardcover,,2010,2010,1/1/2007,4/16/2010,,,read,This is another book that helps you not to become a software commodity. Written by a software consultant just like me.,,,,,,1,,,unspecified,,
7155145,Linchpin: Are You Indispensable?,Seth Godin,"Godin, Seth",,1591843162,9781591843160,5,3.87,Portfolio,Hardcover,244,2010,2010,5/8/2010,4/16/2010,,,read,"In you want to transform yourself from being disposable to Indispensable, you must read this book.  ",,,,,,1,,,unspecified,,
324748,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,"Godin, Seth",,1591841666,9781591841661,5,3.82,Portfolio,Hardcover,80,2007,2007,,4/16/2010,,,read,,,,,,,0,,,,,
106835,The Intelligent Investor (Collins Business Essentials),Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett",0060555661,9780060555665,4,4.26,HarperBusiness,Paperback,640,2006,1949,8/1/2009,4/16/2010,,,read,Very good book. But a very long one. The reader need to have some financial background to read the latter part of the book.,,,,,,1,,,unspecified,,
349416,Software Requirements: Practical Techniques for Gathering and Managing Requirements Throughout the Product Development Cycle,Karl E. Wiegers,"Wiegers, Karl E.",,0735618798,9780735618794,5,3.98,Microsoft Press,Paperback,516,2003,1999,7/1/2008,4/16/2010,,,read,,,,,,,1,,,unspecified,,
314063,Head First Software Development,Dan Pilone,"Pilone, Dan",Russ Miles,0596527357,9780596527358,5,3.91,O'Reilly Media,Paperback,498,2007,2007,8/1/2008,4/16/2010,,,read,,,,,,,1,,,unspecified,,
2251306,"Brain Rules: 12 Principles for Surviving and Thriving at Work, Home, and School",John Medina,"Medina, John",,0979777704,9780979777707,5,3.98,Pear Press,Hardcover,301,2008,2008,1/1/2010,3/30/2010,,,read,"Must read book for anyone who wanted to be productive , effective get the most out of yourself.  Exercise is good for health. Everybody knows that. but just by exercising 30 minutes a day can reduce the chances of getting Alzheimer decease by 60% is unbelievable. I felt good when I read the book because I was already doing some things that were mentioned in the book.<br/><br/>",,,,,,1,,,unspecified,,
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,0316346624,9780316346627,5,3.89,Back Bay Books,Paperback,301,2002,2000,6/1/2009,3/26/2010,,,read,,,,,,,0,,,,,
3368,Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,"Krug, Steve",,0321344758,9780321344755,5,4.23,New Riders Publishing,Paperback,201,2005,2000,9/1/2005,3/26/2010,,,read,,,,,,,0,,,,,
2292123,Getting Started in Value Investing,Charles Mizrahi,"Mizrahi, Charles",,0470139080,9780470139080,5,4.02,John Wiley & Sons,Paperback,190,2007,2007,10/1/2009,3/26/2010,,,read,,,,,,,1,,,unspecified,,
689117,LINQ in Action,Fabrice Marguerie,"Marguerie, Fabrice","Steve Eichert, Jim Wooley",1933988169,9781933988160,5,3.8,Manning Publications,Paperback,576,2008,2007,1/1/2008,3/23/2010,,,read,,,,,,,1,,,unspecified,,
804077,ASP.Net Ajax in Action,Alessandro Gallo,"Gallo, Alessandro","David Barkol, Rama Krishna Vavilala",1933988142,9781933988146,5,3.53,Manning Publications,Paperback,576,2007,2007,1/1/2007,3/23/2010,,,read,,,,,,,1,,,unspecified,,
293638,"Sensible Stock Investing: How to Pick, Value, and Manage Stocks",David P. Van Knapp,"Knapp, David P. Van",,059539342X,9780595393428,4,2,iUniverse,Paperback,320,2006,2006,8/1/2009,3/23/2010,,,read,,,,,,,1,,,unspecified,,
2242700,jQuery in Action,Bear Bibeault,"Bibeault, Bear",Yehuda Katz,1933988355,9781933988351,5,3.91,Manning Publications,Paperback,347,2008,2008,10/10/2009,3/23/2010,,,read,Really enjoyed reading this book. It has some nice exercise chapters that can be downloaded separately. You have to practice it in parallel while you are reading the chapters. I'll recommend this book to my friends.,,,,,,1,,,unspecified,,
160338,Ambient Findability: What We Find Changes Who We Become,Peter Morville,"Morville, Peter",,0596007655,9780596007652,5,3.72,O'Reilly Media,Paperback,208,2005,2005,2/28/2010,3/23/2010,,,read,"Very interesting. Since the book was published five years ago, some of the concepts were familiar to me. Overall it was worth reading. ",,,,,,0,,,,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,0316017922,9780316017923,5,4.1,"Little, Brown and Company",Hardcover,309,2008,2008,4/4/2010,3/15/2010,,,read,,,,,,,1,,,unspecified,,
40745,Mindset: The New Psychology of Success,Carol S. Dweck,"Dweck, Carol S.",,1400062756,9781400062751,5,4.03,Random House,Hardcover,276,2006,2006,8/1/2009,3/15/2010,,,read,One of my top 5 favorite books. It will change your mindset. Suddenly the unthinkable goal or task becomes a doable task.,,,,,,1,,,unspecified,,
7088205,Search Patterns: Design for Discovery,Peter Morville,"Morville, Peter",Jeffery Callender,0596802277,9780596802271,5,3.87,O'Reilly Media,Paperback,192,2010,2010,3/30/2010,3/15/2010,,,read,Wow. the search domain is just 10 years old. very interesting and easy read. ,,,,,,0,,,,,
628311,The Neatest Little Guide to Stock Market Investing (RevisedEdition),Jason Kelly,"Kelly, Jason",,0452284732,9780452284739,4,3.94,Plume,Paperback,288,2003,1998,7/6/2011,3/5/2010,to-read,to-read (#2),to-read,,,,,,,0,,,,,
6256822,How a Second Grader Beats Wall Street: Golden Rules Any Investor Can Learn,Allan S. Roth,"Roth, Allan S.",,0470375949,9780470375945,5,3.9,John Wiley & Sons,Hardcover,262,2009,2009,,3/5/2010,,,read,,,,,,,0,,,,,
368593,The 4-Hour Workweek,Timothy Ferriss,"Ferriss, Timothy",,0307353133,9780307353139,0,3.81,Harmony,Hardcover,308,2007,2007,,3/5/2010,to-read,to-read (#1),to-read,,,,,,,0,,,,,
